title,text,label
Unverified: Report alleges ghost hackers ran a media coup,Unverified: Report alleges ghost hackers ran a media coup. This report is unverified and might just be a wild rumor. The story is buzzing online and sparking major debates. Officials haven't commented yetâ€”suspense is real. Experts are still trying to figure out what went down.,1
New health guidelines released to improve public wellbeing,New health guidelines released to improve public wellbeing. Verified by multiple reputable sources. Experts are still trying to figure out what went down. The story is buzzing online and sparking major debates. Officials haven't commented yetâ€”suspense is real.,0
Scientists report breakthrough in renewable energy,Scientists report breakthrough in renewable energy. Verified by multiple reputable sources. Officials haven't commented yetâ€”suspense is real. More deets are expected as the saga unfolds. The story is buzzing online and sparking major debates.,0
Scandal alert: Conspiracy theories rock Moroccan leadership,Scandal alert: Conspiracy theories rock Moroccan leadership. This report is unverified and might just be a wild rumor. Experts are still trying to figure out what went down. The story is buzzing online and sparking major debates. More deets are expected as the saga unfolds.,1
Rumor: Media execs involved in secret society shenanigans,Rumor: Media execs involved in secret society shenanigans. This report is unverified and might just be a wild rumor. Experts are still trying to figure out what went down. The story is buzzing online and sparking major debates. More deets are expected as the saga unfolds.,1
Unverified: Report alleges ghost hackers ran a media coup,Unverified: Report alleges ghost hackers ran a media coup. This report is unverified and might just be a wild rumor. The story is buzzing online and sparking major debates. Officials haven't commented yetâ€”suspense is real. Experts are still trying to figure out what went down.,1
Moroccan cultural festival celebrates timeless traditions,Moroccan cultural festival celebrates timeless traditions. Verified by multiple reputable sources. Officials haven't commented yetâ€”suspense is real. The story is buzzing online and sparking major debates. Social media is on fire with reactions.,0
Parliament debates new policy to boost Moroccan economy,Parliament debates new policy to boost Moroccan economy. Verified by multiple reputable sources. The story is buzzing online and sparking major debates. Experts are still trying to figure out what went down. More deets are expected as the saga unfolds.,0
Tech giant unveils cutting-edge smartphone innovation,Tech giant unveils cutting-edge smartphone innovation. Verified by multiple reputable sources. The story is buzzing online and sparking major debates. More deets are expected as the saga unfolds. Officials haven't commented yetâ€”suspense is real.,0
Rumor: Groundbreaking tech invented in a suburban basement,Rumor: Groundbreaking tech invented in a suburban basement. This report is unverified and might just be a wild rumor. More deets are expected as the saga unfolds. Experts are still trying to figure out what went down. Officials haven't commented yetâ€”suspense is real.,1
Scientists report breakthrough in renewable energy,Scientists report breakthrough in renewable energy. Verified by multiple reputable sources. More deets are expected as the saga unfolds. Social media is on fire with reactions. Officials haven't commented yetâ€”suspense is real.,0
New study reveals insights into quantum computing,New study reveals insights into quantum computing. Verified by multiple reputable sources. Experts are still trying to figure out what went down. Social media is on fire with reactions. The story is buzzing online and sparking major debates.,0
Moroccan cultural festival celebrates timeless traditions,Moroccan cultural festival celebrates timeless traditions. Verified by multiple reputable sources. The story is buzzing online and sparking major debates. Officials haven't commented yetâ€”suspense is real. Experts are still trying to figure out what went down.,0
Medical community hails promising vaccine development,Medical community hails promising vaccine development. Verified by multiple reputable sources. Social media is on fire with reactions. More deets are expected as the saga unfolds. The story is buzzing online and sparking major debates.,0
Unverified: Moroccan heritage event staged by imposters,Unverified: Moroccan heritage event staged by imposters. This report is unverified and might just be a wild rumor. More deets are expected as the saga unfolds. Social media is on fire with reactions. The story is buzzing online and sparking major debates.,1
King addresses national issues amid rising debates,King addresses national issues amid rising debates. Verified by multiple reputable sources. Experts are still trying to figure out what went down. Social media is on fire with reactions. Officials haven't commented yetâ€”suspense is real.,0
Government announces sweeping reforms in Morocco,Government announces sweeping reforms in Morocco. Verified by multiple reputable sources. The story is buzzing online and sparking major debates. Experts are still trying to figure out what went down. Officials haven't commented yetâ€”suspense is real.,0
Major outlet releases exclusive investigative report,Major outlet releases exclusive investigative report. Verified by multiple reputable sources. More deets are expected as the saga unfolds. Officials haven't commented yetâ€”suspense is real. Experts are still trying to figure out what went down.,0
Unverified: Moroccan heritage event staged by imposters,Unverified: Moroccan heritage event staged by imposters. This report is unverified and might just be a wild rumor. More deets are expected as the saga unfolds. Experts are still trying to figure out what went down. The story is buzzing online and sparking major debates.,1
Fake claim: Traditional Moroccan dish contains mysterious ingredient,Fake claim: Traditional Moroccan dish contains mysterious ingredient. This report is unverified and might just be a wild rumor. The story is buzzing online and sparking major debates. Social media is on fire with reactions. Officials haven't commented yetâ€”suspense is real.,1
Rumor: Groundbreaking tech invented in a suburban basement,Rumor: Groundbreaking tech invented in a suburban basement. This report is unverified and might just be a wild rumor. More deets are expected as the saga unfolds. The story is buzzing online and sparking major debates. Social media is on fire with reactions.,1
New health guidelines released to improve public wellbeing,New health guidelines released to improve public wellbeing. Verified by multiple reputable sources. The story is buzzing online and sparking major debates. Officials haven't commented yetâ€”suspense is real. Social media is on fire with reactions.,0
Medical community hails promising vaccine development,Medical community hails promising vaccine development. Verified by multiple reputable sources. Social media is on fire with reactions. The story is buzzing online and sparking major debates. More deets are expected as the saga unfolds.,0
New art exhibit highlights Morocco's rich heritage,New art exhibit highlights Morocco's rich heritage. Verified by multiple reputable sources. More deets are expected as the saga unfolds. Experts are still trying to figure out what went down. The story is buzzing online and sparking major debates.,0
